"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/bc666fd2ade249bc51f0.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/bf019c7195967fcf6b80.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/c8ec046a7b2f9c192bf1.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/cb048c1c09180d3a9520.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/cf8a7fb0c439f8353a9c.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/d010cafcc4304a2b1231.hot-update.json", "JSON", 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/d65be4fe89bc1e209b8e.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/ddbc483239a19fc7c8c6.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/e0614abbe21b08d2ae6e.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/e28a3b3adc12026e91c4.hot-update.json", "JSON", 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/e9cea46dc12141122637.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/eea15485ffeb9aa64262.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/f6279e0119eb604c3983.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/f81c0459b0e6f0d22be9.hot-update.json", "JSON", 0, -1, 0, 0, -1
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/index.d010cafcc4304a2b1231.hot-update.js", "JavaScript", 7, 0, 11, 4, 22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].053251b41178ce54872c.hot-update.js", "JavaScript", -7, 0, -11, -4, -22
"/Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].064291dc757f1c059347.hot-update.js", "JavaScript", -627, 0, -383, -376, -1386
