"filename", "language", "TypeScript", "GraphQL", "JavaScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/cf76178f65929ce725ac303760f0575f.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/d573530fc14a43491d53e58234b83211.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/dbe6404f3e0f13da4979ee2f1ab5f007.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/e4e1f1456d45f627b6530f7f3860a305.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/e6ab16264960baa27d297c837dbc08f6.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/ee25bc80c86243009bd09e9281167f36.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/f80694c2f40b12e8b61a92d252e2e406.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/cache/next-babel-loader/faf8a76f665688ffaf4537160738c83e.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 8
"/Users/AmitBoost/Desktop/Programming/reminderApp/backend/.keystone/admin/.next/server/init-server.js.js", "JavaScript", 0, 0, 83, 0, 0, 21, 4, 108
